Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	31	105336 	879495	2024-03-08 14:13	/discussions/amazon/view/105336-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	32	105337 	879496	2024-11-24 22:11	/discussions/amazon/view/105337-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	33	106198 	879497	2024-02-20 6:45	/discussions/amazon/view/106198-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	34	106213 	879498	2024-03-06 14:47	/discussions/amazon/view/106213-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	35	106199 	879499	2024-05-31 5:12	/discussions/amazon/view/106199-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	36	106261 	879500	2024-06-01 0:09	/discussions/amazon/view/106261-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	37	106307 	879501	2023-11-26 17:21	/discussions/amazon/view/106307-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	38	105438 	879502	2024-03-08 14:20	/discussions/amazon/view/105438-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	39	106215 	879503	2024-08-18 1:59	/discussions/amazon/view/106215-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	40	106309 	879504	2025-08-22 11:11	/discussions/amazon/view/106309-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	41	106310 	879505	2024-09-04 20:43	/discussions/amazon/view/106310-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	42	106311 	879506	2025-08-20 20:44	/discussions/amazon/view/106311-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	43	106312 	879507	2024-07-26 4:48	/discussions/amazon/view/106312-exam-aws-certified-devops-engineer-professional-dop-c02/
Exam AWS Certified DevOps Engineer - Professional DOP-C02 topic 1	44	106274 	879508	2025-04-19 12:52	/discussions/amazon/view/106274-exam-aws-certified-devops-engineer-professional-dop-c02/
